2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
163,Cary[25],North Carolina,151088,135234,0.1172,54.3æsqæmi,"2,488æperæsqæmi",35.7821ÁN 78.8141ÁW
164,Rockford,Illinois,150251,152871,-0.0171,61.1æsqæmi,"2,503æperæsqæmi",42.2634ÁN 89.0628ÁW
165,Alexandria[15],Virginia,148892,139966,0.0638,15.0æsqæmi,"9,314æperæsqæmi",38.8183ÁN 77.0820ÁW
166,Escondido,California,148738,143911,0.0335,36.8æsqæmi,"3,909æperæsqæmi",33.1336ÁN 117.0732ÁW
167,McKinney,Texas,148559,131117,0.133,62.2æsqæmi,"2,108æperæsqæmi",33.2012ÁN 96.6680ÁW
168,Kansas City[26],Kansas,148483,145786,0.0185,124.8æsqæmi,"1,168æperæsqæmi",39.1225ÁN 94.7418ÁW
169,Joliet,Illinois,147806,147433,0.0025,62.1æsqæmi,"2,374æperæsqæmi",41.5181ÁN 88.1584ÁW
170,Sunnyvale,California,147559,140081,0.0534,22.0æsqæmi,"6,371æperæsqæmi",37.3858ÁN 122.0263ÁW
171,Torrance,California,147478,145438,0.014,20.5æsqæmi,"7,102æperæsqæmi",33.8350ÁN 118.3414ÁW
172,Bridgeport,Connecticut,147216,144229,0.0207,16.0æsqæmi,"9,029æperæsqæmi",41.1874ÁN 73.1957ÁW
173,Lakewood,Colorado,147214,142980,0.0296,42.9æsqæmi,"3,334æperæsqæmi",39.6989ÁN 105.1176ÁW
174,Hollywood,Florida,146526,140768,0.0409,27.4æsqæmi,"5,144æperæsqæmi",26.0311ÁN 80.1646ÁW
175,Paterson,New Jersey,145948,146199,-0.0017,8.4æsqæmi,"17,346æperæsqæmi",40.9147ÁN 74.1628ÁW
176,Naperville,Illinois,144864,141853,0.0212,38.8æsqæmi,"3,659æperæsqæmi",41.7492ÁN 88.1620ÁW
177,Syracuse,New York,144669,145170,-0.0035,25.0æsqæmi,"5,797æperæsqæmi",43.0410ÁN 76.1436ÁW
178,Mesquite,Texas,143484,139824,0.0262,46.0æsqæmi,"3,038æperæsqæmi",32.7639ÁN 96.5924ÁW
179,Dayton,Ohio,143355,141527,0.0129,55.7æsqæmi,"2,543æperæsqæmi",39.7774ÁN 84.1996ÁW
180,Savannah,Georgia,142772,136286,0.0476,103.2æsqæmi,"1,321æperæsqæmi",32.0025ÁN 81.1536ÁW
181,Clarksville,Tennessee,142357,132929,0.0709,97.6æsqæmi,"1,362æperæsqæmi",36.5664ÁN 87.3452ÁW
182,Orange,California,139969,136416,0.026,24.8æsqæmi,"5,501æperæsqæmi",33.8048ÁN 117.8249ÁW
183,Pasadena,California,139731,137122,0.019,23.0æsqæmi,"5,970æperæsqæmi",34.1606ÁN 118.1396ÁW
184,Fullerton,California,138981,135161,0.0283,22.4æsqæmi,"6,047æperæsqæmi",33.8857ÁN 117.9280ÁW
185,Killeen,Texas,137147,127921,0.0721,53.6æsqæmi,"2,387æperæsqæmi",31.0777ÁN 97.7320ÁW
186,Frisco,Texas,136791,116989,0.1693,61.8æsqæmi,"1,893æperæsqæmi",33.1510ÁN 96.8193ÁW
187,Hampton[15],Virginia,136699,137436,-0.0054,51.4æsqæmi,"2,673æperæsqæmi",37.0480ÁN 76.2971ÁW
188,McAllen,Texas,136639,129877,0.0521,48.3æsqæmi,"2,687æperæsqæmi",26.2185ÁN 98.2461ÁW
189,Warren,Michigan,134873,134056,0.0061,34.4æsqæmi,"3,899æperæsqæmi",42.4929ÁN 83.0250ÁW
