"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"209","Stamford","Connecticut",126456,122643,"0.0311",376,3258,"41.0799¡N 73.5460¡W",410799,-735460
"210","SimiValley","California",126181,124237,"0.0156",415,2995,"34.2669¡N 118.7485¡W",342669,-1187485
"211","Concord","California",125880,122067,"0.0312",305,3996,"37.9722¡N 122.0016¡W",379722,-1220016
"212","Hartford","Connecticut",125017,124775,"0.0019",174,7179,"41.7660¡N 72.6833¡W",417660,-726833
"213","Kent","Washington",124435,92411,"0.3465",286,3228,"47.3853¡N 122.2169¡W",473853,-1222169
"214","Lafayette","Louisiana",124276,120623,"0.0303",492,2450,"30.2116¡N 92.0314¡W",302116,-920314
"215","Midland","Texas",123933,111147,"0.115",721,1542,"32.0299¡N 102.1097¡W",320299,-1021097
"216","Surprise","Arizona",123546,117517,"0.0513",1057,1111,"33.6706¡N 112.4527¡W",336706,-1124527
"217","Denton","Texas",123099,113383,"0.0857",880,1289,"33.2151¡N 97.1417¡W",332151,-971417
"218","Victorville","California",121096,115903,"0.0448",732,1584,"34.5277¡N 117.3536¡W",345277,-1173536
"219","Evansville","Indiana",120310,117429,"0.0245",442,2660,"37.9877¡N 87.5347¡W",379877,-875347
"220","SantaClara","California",120245,116468,"0.0324",184,6327,"37.3646¡N 121.9679¡W",373646,-1219679
"221","Abilene","Texas",120099,117063,"0.0259",1068,1096,"32.4545¡N 99.7381¡W",324545,-997381
"222","Athens","Georgia",119980,115452,"0.0392",1164,992,"33.9496¡N 83.3701¡W",339496,-833701
"223","Vallejo","California",118837,115942,"0.025",307,3780,"38.1079¡N 122.2639¡W",381079,-1222639
"224","Allentown","Pennsylvania",118577,118032,"0.0046",175,6727,"40.5940¡N 75.4782¡W",405940,-754782
"225","Norman","Oklahoma",118197,110925,"0.0656",1788,621,"35.2406¡N 97.3453¡W",352406,-973453
"226","Beaumont","Texas",117796,118296,"-0.0042",828,1429,"30.0843¡N 94.1458¡W",300843,-941458
"227","Independence","Missouri",117240,116830,"0.0035",776,1506,"39.0853¡N 94.3513¡W",390853,-943513
"228","Murfreesboro","Tennessee",117044,108755,"0.0762",553,1965,"35.8522¡N 86.4161¡W",358522,-864161
"229","AnnArbor","Michigan",117025,113934,"0.0271",278,4094,"42.2756¡N 83.7313¡W",422756,-837313
"230","Springfield","Illinois",117006,116250,"0.0065",595,1954,"39.7639¡N 89.6708¡W",397639,-896708
"231","Berkeley","California",116768,112580,"0.0372",105,10752,"37.8667¡N 122.2991¡W",378667,-1222991
"232","Peoria","Illinois",116513,115007,"0.0131",480,2396,"40.7523¡N 89.6171¡W",407523,-896171
"233","Provo","Utah",116288,112488,"0.0338",417,2699,"40.2453¡N 111.6448¡W",402453,-1116448
"234","ElMonte","California",115708,113475,"0.0197",96,11867,"34.0746¡N 118.0291¡W",340746,-1180291
"235","Columbia","Missouri",115276,108500,"0.0625",631,1720,"38.9479¡N 92.3261¡W",389479,-923261
"236","Lansing","Michigan",113972,114297,"-0.0028",360,3171,"42.7098¡N 84.5562¡W",427098,-845562
"237","Fargo","North Dakota",113658,105549,"0.0768",488,2162,"46.8652¡N 96.8290¡W",468652,-968290
"238","Downey","California",113242,111772,"0.0132",124,9008,"33.9382¡N 118.1309¡W",339382,-1181309
"239","CostaMesa","California",112174,109960,"0.0201",157,7025,"33.6659¡N 117.9123¡W",336659,-1179123
"240","Wilmington","North Carolina",112067,106476,"0.0525",515,2068,"34.2092¡N 77.8858¡W",342092,-778858
